what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713830362
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713836727
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713839751
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743713871670
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713873089
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713874333
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743713875233
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743713892681
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743713896947
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713898355
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713899476
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743713900364
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743713910309
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713918528
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713947710
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713949453
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714105762
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743714131940
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714133546
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714574030
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714574564
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714578923
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743714584583
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714589419
opened,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743714605159
