what,kind,bundleId,bundleVersion,description,time
opened,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743716239482
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743716239490
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716239555
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743716239625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716240458
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716247455
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743716250100
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743716251977
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716255334
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716256374
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743716257886
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743716276645
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743716357598
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716362759
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716364246
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743716367213
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743716389536
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743716409527
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716411616
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716412620
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743716414697
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716422969
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716546012
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716547097
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716548450
