what,kind,bundleId,bundleVersion,description,time
started,bundle,net.sf.pfcdt,1.0.7.200902041148,net.sf.pfcdt,1743713135084
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1743713138392
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713152496
started,bundle,org.eclipse.dltk.core,0.95.1.v20080920-R0951,org.eclipse.dltk.core,1743713152810
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1743713152819
started,bundle,org.eclipse.dltk.launching,0.95.1.v20080915-1703,org.eclipse.dltk.launching,1743713152822
started,bundle,org.eclipse.dltk.ui,0.95.1.v20080920-R0951,org.eclipse.dltk.ui,1743713152825
started,bundle,org.eclipse.dltk.ruby.ui,0.95.1.v20080903-1434,org.eclipse.dltk.ruby.ui,1743713152826
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1743713155474
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713158476
opened,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743713173818
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743713173823
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713173865
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743713173888
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743713177350
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743713183252
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743713185325
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713199495
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713272363
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743713289034
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.smartEnter,1743713431218
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743713532188
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1743713533246
started,bundle,org.eclipse.dltk.ruby.core,0.95.1.v20080920-R0951,org.eclipse.dltk.ruby.core,1743713533267
started,bundle,net.sf.eclipsefp.common.ui,0.10.0,net.sf.eclipsefp.common.ui,1743713533504
