what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715859051
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715860957
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715861754
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715863310
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743715864861
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743715871827
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715874655
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715877639
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743715886372
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715890682
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715952004
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743715955668
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715957717
opened,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743715971582
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743715971591
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715971648
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743715971666
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715972824
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715989086
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743715993243
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743716000466
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743716009830
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716011996
opened,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743716019736
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743716019743
