what,kind,bundleId,bundleVersion,description,time
started,bundle,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui,1743713533510
started,bundle,de.leiffrenzel.fp.haskell.ghccompiler,0.10.0,de.leiffrenzel.fp.haskell.ghccompiler,1743713533517
started,bundle,net.sf.eclipsefp.haskell.hugs,0.10.0,net.sf.eclipsefp.haskell.hugs,1743713533563
started,bundle,org.eclipse.cdt.launch,5.0.2.200901300802,org.eclipse.cdt.launch,1743713533567
started,bundle,net.sf.pascaline.cdtinterface,0.5.7.200902201919,net.sf.pascaline.cdtinterface,1743713533817
started,bundle,org.eclipse.cdt.core,5.0.2.200901300802,org.eclipse.cdt.core,1743713533962
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713533999
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713534830
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743713535115
started,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200901300802,org.eclipse.cdt.debug.mi.ui,1743713535159
started,bundle,org.eclipse.dltk.validators.ui,0.95.1.v20080707-1511,org.eclipse.dltk.validators.ui,1743713535167
started,bundle,org.eclipse.cdt.debug.core,5.0.2.200901300802,org.eclipse.cdt.debug.core,1743713535196
started,bundle,org.eclipse.cdt.debug.mi.core,5.0.1.200901300802,org.eclipse.cdt.debug.mi.core,1743713535197
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743713535948
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713560711
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713577978
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743713579400
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743713593361
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713594907
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713596451
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743713597470
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743713621538
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713625446
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713658023
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1743713661354
