what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716019801
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743716019839
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716021067
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716029209
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743716031372
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743716034096
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743716036516
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716039474
opened,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743716047930
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743716047936
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716048002
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743716048055
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716049112
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716055257
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743716058075
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743716059277
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743716062150
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716065093
opened,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743716085700
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743716085707
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716085783
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743716085819
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716087003
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716097980
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743716100410
