what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715639749
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743715642430
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743715650305
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743715670262
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743715672834
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743715683647
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743715731602
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715733768
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715734961
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743715736370
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743715763349
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1743715788930
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715789683
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715831500
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743715834247
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715838826
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715840360
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715841102
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715843850
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715846029
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715847628
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715847890
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715856569
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715857291
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715858382
