what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743714914661
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1743714919270
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743714920950
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743714935297
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714937392
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714951921
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743714953081
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743714971193
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714976894
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714977935
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743714978813
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714986225
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714987597
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714992004
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715074211
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743715075362
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715082256
opened,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743715100962
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743715100967
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715100997
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743715101024
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743715109964
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715112712
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715138195
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743715142997
