what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743713666455
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713670462
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713694667
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713695650
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713696921
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713697684
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713698184
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713698493
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713698940
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1743713704661
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743713706631
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743713732964
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713734322
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713735447
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743713736389
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743713745170
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743713796244
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713797585
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713798647
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743713800429
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713809765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713811474
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743713812297
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713820978
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743713828670
