what,kind,bundleId,bundleVersion,description,time
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743714605164
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714605207
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743714605221
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743714610914
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1743714614261
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743714615643
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714616593
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714616646
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.smartEnter,1743714618758
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743714626709
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714627764
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714636834
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743714641692
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743714782341
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714784634
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714785599
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743714786718
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714795760
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714809356
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743714811962
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714815340
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714866240
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714869943
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743714875512
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743714911283
